id	name	status	duration_seconds	rc	command
CP-01	Toolchain preflight	PASS	1	0	command -v kind >/dev/null && command -v kubectl >/dev/null && command -v helm >/dev/null && command -v docker >/dev/null && command -v go >/dev/null && docker info >/dev/null && kubectl config current-context >/dev/null
CP-02	Version contract validation	PASS	0	0	python3 scripts/validate_version_contract.py
CP-03	Mesh operator unit tests	PASS	2	0	cd mesh-operator && go test ./...
CP-04	Fallback image reproducibility	PASS	10	0	bash scripts/ops/check_mesh_images_reproducibility.sh
CP-05	Helm lint and webhook render	PASS	1	0	helm lint charts/x0tta-mesh-operator && helm template mesh-op charts/x0tta-mesh-operator --namespace x0tta-system --set operator.webhook.enabled=true --set operator.webhook.certManager.enabled=true >/tmp/mesh-operator-webhook-render.yaml
CP-06	Git release promotion dry-run	PASS	0	0	bash scripts/release_to_main.sh --dry-run
CP-07	Kind smoke e2e	PASS	64	0	bash scripts/ops/mesh_operator_kind_e2e.sh
CP-08	Webhook admission e2e	PASS	40	0	bash scripts/ops/mesh_operator_webhook_admission_e2e.sh
CP-09	Helm lifecycle e2e	PASS	53	0	bash scripts/ops/mesh_operator_helm_lifecycle_e2e.sh
CP-10	Canary rollout + rollback e2e	PASS	78	0	bash scripts/ops/mesh_operator_canary_rollback_e2e.sh
